facility_name,facility_id,facility_type,street1,street2,city,state,postal_code,country,latitude,longitude,phone,contact,url,begin_date,end_date,begin_time,end_time,eligibility,documents,cost,currency_code,notes,file_start_date,file_end_date
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/12/2013 12:00:00 AM,10/12/2013 12:00:00 AM,08:30:00-0500,11:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/12/2013 12:00:00 AM,10/12/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/18/2013 12:00:00 AM,10/18/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/25/2013 12:00:00 AM,10/25/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/19/2013 12:00:00 AM,10/19/2013 12:00:00 AM,08:30:00-0500,11:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/19/2013 12:00:00 AM,10/19/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/26/2013 12:00:00 AM,10/26/2013 12:00:00 AM,08:30:00-0500,11:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Chinatown Public Health Center,904,Health Center,1490 Mason Street,,San Francisco,California,94133,United States,37.797205,-122.411792,(415) 364-7934,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/26/2013 12:00:00 AM,10/26/2013 12:00:00 AM,13:30:00-0500,16:30:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/18/2013 12:00:00 AM,10/18/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/21/2013 12:00:00 AM,10/21/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/23/2013 12:00:00 AM,10/23/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/25/2013 12:00:00 AM,10/25/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/28/2013 12:00:00 AM,10/28/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,10/30/2013 12:00:00 AM,10/30/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/01/2013 12:00:00 AM,11/01/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/04/2013 12:00:00 AM,11/04/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/06/2013 12:00:00 AM,11/06/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/08/2013 12:00:00 AM,11/08/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/11/2013 12:00:00 AM,11/11/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/13/2013 12:00:00 AM,11/13/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/15/2013 12:00:00 AM,11/15/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/18/2013 12:00:00 AM,11/18/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/20/2013 12:00:00 AM,11/20/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/22/2013 12:00:00 AM,11/22/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/25/2013 12:00:00 AM,11/25/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/27/2013 12:00:00 AM,11/27/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/29/2013 12:00:00 AM,11/29/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/02/2013 12:00:00 AM,12/02/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/04/2013 12:00:00 AM,12/04/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/06/2013 12:00:00 AM,12/06/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/09/2013 12:00:00 AM,12/09/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/11/2013 12:00:00 AM,12/11/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Southeast Health Center,938,Health Center,2401 Keith Street,,San Francisco,California,94124,United States,37.72572,-122.391891,(415) 671-7000,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/13/2013 12:00:00 AM,12/13/2013 12:00:00 AM,08:00:00-0500,10:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Ocean Park Health Center,906,Health Center,1351 24th Avenue,,San Francisco,California,94122,United States,37.762305,-122.482581,(415) 682-1950,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/06/2013 12:00:00 AM,11/06/2013 12:00:00 AM,08:30:00-0500,11:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Ocean Park Health Center,906,Health Center,1351 24th Avenue,,San Francisco,California,94122,United States,37.762305,-122.482581,(415) 682-1950,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/08/2013 12:00:00 AM,11/08/2013 12:00:00 AM,08:30:00-0500,11:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Maxine Hall Health Center,900,Health Center,1301 Pierce Street,,San Francisco,California,94115,United States,37.7823,-122.436084,(415) 292-1300,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/15/2013 12:00:00 AM,11/15/2013 12:00:00 AM,08:30:00-0500,11:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Maxine Hall Health Center,900,Health Center,1301 Pierce Street,,San Francisco,California,94115,United States,37.7823,-122.436084,(415) 292-1300,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/15/2013 12:00:00 AM,11/15/2013 12:00:00 AM,13:30:00-0500,16:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Potrero Hill Health Center,936,Health Center,1050 Wisconsin Street,,San Francisco,California,94107,United States,37.754,-122.398838,(415) 648-3022,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,11/15/2013 12:00:00 AM,11/15/2013 12:00:00 AM,09:30:00-0500,12:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Potrero Hill Health Center,936,Health Center,1050 Wisconsin Street,,San Francisco,California,94107,United States,37.754,-122.398838,(415) 648-3022,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/06/2013 12:00:00 AM,12/06/2013 12:00:00 AM,09:30:00-0500,12:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
Potrero Hill Health Center,936,Health Center,1050 Wisconsin Street,,San Francisco,California,94107,United States,37.754,-122.398838,(415) 648-3022,"Erin M. Bachus, MPH",www.sfcdcp.org/flu,12/13/2013 12:00:00 AM,12/13/2013 12:00:00 AM,09:30:00-0500,12:00:00-0500,Adults 18 and Over,,10,USD,No Medicare or Insurance accepted.,,
